NAME,Category,Sub Category,Main Ingredient_1,Ingredient_2
ပိန္နဲသီးဆူးပုတ်ချက်,အရံဟင်း,အသီးအရွက်,ပိန္နဲသီး,ဆူးပုတ်ရွက်
ပိန္နဲသီးငါးနီတူချက်,အရံဟင်း,အသီးအရွက်,ပိန္နဲသီး,ငါးနီတူခြောက်
ရှူးရှဲငါးကြင်း ငါးပိချက်,အရံဟင်း,အငန်ချက်ဟင်းများ,ငါး,
ပလောင်တောင်ယာဟင်းချက်နည်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကြက်သား,အသီးအရွက်များ
ကုလားပဲလုံးသုပ်,အသုပ်,အသီးအရွက်သုပ်,ကုလားပဲ,
မျှစ်ငါးနီတူအစပ်ချက်,အရံဟင်း,အသားနှင့် အသီးအရွက်,မျှစ်,ငါးနီတူခြောက်
ပဲသွေးရခိုင်သုပ်,အသုပ်,အသီးအရွက်သုပ်,ပဲသွေး,
ဆီလွတ် အရည်သောက် ကြက်သားအာပူလျှာပူ,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကြက်သား,
အညာခရမ်းချဉ်သီးထောင်း ချဉ်ငန်စပ်,အရံဟင်း,အသီးအရွက်,ခရမ်းချဉ်သီး,
ချိုချဉ်စပ် ပြောင်းဖူးထောင်း,အရံဟင်း,အသီးအရွက်,ပြောင်းဖူး,
မကျည်းသီးထောင်း,အရံဟင်း,အသီးအရွက်,မကျည်းသီး,
လယ်တောဟင်း,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ကြက်သား,
ရခိုင်ငါးနီတူသုပ်,အသုပ်,အသားသုပ်,ငါးနီတူခြောက်,
လျှာဂျွမ်းပြန် ကြက်သား ပဲရည်သုပ်စပ်စပ်လေး,အသုပ်,အသားသုပ်,ကြက်သား,
ပုဇွန်‌ကြော်နှပ်,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ပုဇွန်,
ပုဇွန်ခြောက်ငံရည်ရည်ချက်,အရံဟင်း,အငန်ချက်ဟင်းများ,ပုဇွန်ခြောက်,
ဘူးသီးနဲ့ကြက်ခြေထောက် ကြက်ရိုးဟင်းချို,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ဘူးသီး,
ရခိုင်ငရုတ်သီးထောင်း,အရံဟင်း,အငန်ချက်ဟင်းများ,ငရုတ်သီးစိမ်း,
ဗူးရွက်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ဘူးညွှန့်,
ခဝဲသီးနဲ့မျှစ်ကြော်,အရံဟင်း,အသီးအရွက်,ခဝဲသီး,မျှစ်
ဆီမပါတဲ့ သီးရွက်စုံဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,အသီးအရွက်များ,
သီးရွက်စုံကြော်,အရံဟင်း,အသီးအရွက်,အသီးအရွက်များ,
ကြွက်နားရွက်မှိုရခိုင်သုပ်,အသုပ်,အသီးအရွက်သုပ်,ကြွက်နားရွက်မှို,
ကြောင်လျှာသီးကြော်,အရံဟင်း,အသီးအရွက်,ကြောင်လျှာသီး,
ခရမ်းသီးအိုးကပ်,အရံဟင်း,အသီးအရွက်,ခရမ်းသီး,
